id,title,authors,type,location,date,link,axis
T153,ESTUDO DO EFEITO DE BLENDAS DE SOLVENTES EM AGLOMERADOS DE ASFALTENOS POR DINÂMICA MOLECULAR,"Kelly Fernandes Pessoa Laeber, Alexandre Nelson Martiniano Carauta, Peter Rudolf Seidl", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T154,SIMULAÇÕES COMPUTACIONAIS DE MEMBRANAS DE POLI(URETANO-UREIA) COM APLICAÇÃO EM SEPARAÇÃO DE GASES,"Flávia C. A. Silva, Tuanan C. Lourenço, Rodrigo A. Reis, Luciano T. Costa", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T160,ESTUDO DE PROPRIEDADES INTERFACIAIS DE SISTEMAS CONTENDO HIDROCARBONETOS E ÁGUA SALGADA NA AUSÊNCIA E NA PRESENÇA DE TENSOATIVOS NÃO IÔNICOS,"Diogo S. Duarte, Gabriele V. Santos, Nathalia S. V. Barbosa, Eduardo R. A. Lima", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T175,INFLUÊNCIA DA CARACTERIZAÇÃO DO ASFALTENO NO CÁLCULO DO ONSET DE PRECIPITAÇÃO E DO ENVELOPE DE FASES COM A EQUAÇÃO DE ESTADO CPA,"Fabio P. Nascimento, Glória M. N. Costa, Silvio A. B. Vieira de Melo", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T192,MODELAGEM DA DETERMINAÇÃO DE DADOS DE EQUILÍBRIO SÓLIDO-LÍQUIDO POR MEIO DE CALORIMETRIA EXPLORATÓRIA DIFERENCIAL,"Rui L. Gonçalves, Pedro A. Pessoa Filho", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T196,ESTIMAÇÃO DE PROPRIEDADES PVT DE ÓLEOS VIVOS NAFTÊNICOS POR EQUAÇÕES EMPÍRICAS E INTELIGÊNCIA ARTIFICIAL,"Flavio P. B. Lins Junior, Luciana L. de Pinho, Krishnaswamy Rajagopal", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T199,DINÂMICA MOLECULAR REATIVA DA OXIDAÇÃO DE MISTURAS RICAS DE ETANOL E O2/N2 OU O2/CO2,"Sarah Arvelos, Carla Eponina Hori", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T200,PRESSÃO MÍNIMA DE MISCIBILIDADE DE FLUIDOS DE RESERVATÓRIOS DE PETRÓLEO POR SIMULAÇÃO DE ESCOAMENTO EM MEIO POROSO HOMOGENEO,"Danilo Andrade Ribeiro, Krishnaswamy Rajagopal, Rogério Fernandes Lacerda", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T202,TESTING VARIOUS MIXING RULES FOR CALCULATION OF SPEED OF SOUND OF COMPRESSED MIXTURES AT OIL RESERVOIR CONDITION,"David C. Santos, Isaque Gonçalves, Ana Mehl, Paulo Couto", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T206,PROPRIEDADES VOLUMÉTRICAS DE MISTURAS DE BIOQUEROSENE COM QUEROSENE DE AVIAÇÃO,"Idila R. C. Gonçalves, Krishnaswamy Rajagopal, Silvia M. Z. Sebrão", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T208,EXTRAÇÃO LÍQUIDO-LÍQUIDO COMO PRÉ-PROCESSO NA OBTENÇÃO DE ETANOL HIDRATADO,"Gabriel M. K. Pitombeira, Elias de S. Monteiro Filho, Fábio R. M. Batista, Sonja R. Hau", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T209,ANÁLISE DO COMPORTAMENTO INTERFACIAL DE EMULSÕES DE ÓLEOS COMBUSTÍVEIS UTILIZANDO DESEMULSIFICANTE COMERCIAL E LÍQUIDO IÔNICO COM APLICAÇÃO DE MODELOS DE ADSORÇÃO,"Everton Lourenço, Manuela Gonçalves, Ayslan da Costa, Hosana Ávila, Douglas Alves, Elton Franceschi", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T210,CARACTERIZAÇÃO FÍSICO-QUÍMICA DOS ÓLEOS LUBRIFICANTES UTILIZANDO A TÉCNICA DE INFRAVERMELHO PRÓXIMO,"Josefa M. Goncalves, Ayslan S. P. da Costa, Hosana Ávila, Douglas Alves, Everton Lourenço, Elton Franceschi", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T211,DESIGN AND PRELIMINARY COST ANALYSIS OF GAS COMPRESSION SYSTEM IN PLATFORMS: EFFECT OF THERMODYNAMIC MODELING,"Henrique H. Costa, Josenilton F. Romão, Pedro H. R. Alijó, Giovani C. Nunes, André L. H. Costa", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T214,"SOLID-LIQUID EQUILIBRIUM OF THE TERNARY SYSTEM FORMED BY ETHYL LAURATE, ETHYL PALMITATE AND DECYLBENZENE","Maria Dolores R. Fuentes, Larissa C. B. A. Bessa, Antonio J. A. Meirelles, Pedro A. Pessoa Filho", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
